"Feature Name","ID","Class","County","State","Latitude","Longitude","Ele(ft)","Map","BGN Date","Entry Date"
South Aurora Division,1935571,Civil,Arapahoe,CO,393908N,1044735W,5673,Fitzsimons,,26-SEP-2001
South Bent Division,1935552,Civil,Bent,CO,375122N,1030359W,4173,Toonerville SE,,26-SEP-2001
South Jefferson Division,1935574,Civil,Jefferson,CO,392357N,1051623W,6850,Pine,,26-SEP-2001
South Sedgwick Division,1935581,Civil,Sedgwick,CO,405120N,1021917W,3809,Julesburg SE,,26-SEP-2001
Southeastern El Paso Division,1935573,Civil,El Paso,CO,384359N,1042012W,5899,Hanover NE,,26-SEP-2001
Southern Ute Reservation,169585,Civil,La Plata,CO,370629N,1073837W,6483,Ignacio,,13-OCT-1978
Southwest Arapahoe Division,1935575,Civil,Arapahoe,CO,393626N,1045624W,5463,Highlands Ranch,,26-SEP-2001
Springfield Division,1935576,Civil,Baca,CO,372604N,1023643W,4321,Springfield East,,26-SEP-2001
State of Colorado,1779779,Civil,Park,CO,385955N,1053252W,8914,Spinney Mountain,01-JAN-1965,06-FEB-1998
Steamboat Springs Division,1935577,Civil,Routt,CO,403812N,1065141W,8353,Floyd Peak,,26-SEP-2001
Sterling Division,1935578,Civil,Logan,CO,404349N,1031947W,4190,Atwood NE,,26-SEP-2001
Stratton Division,1935579,Civil,Kit Carson,CO,391815N,1023511W,4393,Stratton,,26-SEP-2001
Sugar City Division,1935580,Civil,Crowley,CO,381936N,1033716W,4409,Todd Point,,26-SEP-2001
Summit County,198174,Civil,Summit,CO,393803N,1060659W,9472,Dillon,,01-FEB-1993
Teller County,198175,Civil,Teller,CO,385256N,1050943W,9386,Divide,,01-FEB-1993
Telluride Division,1935582,Civil,San Miguel,CO,375730N,1075750W,9255,Gray Head,,26-SEP-2001
Tierra Amarilla Grant,169594,Civil,Archuleta,CO,370500N,1063732W,11660,Chama Peak,,13-OCT-1978
Timnath-Wellington Division,1935583,Civil,Larimer,CO,404945N,1050543W,5673,Buckeye,,26-SEP-2001
Timpas Division,1935584,Civil,Otero,CO,375014N,1034507W,4406,Timpas,,26-SEP-2001
Town of Aguilar,2412339,Civil,Las Animas,CO,372413N,1043918W,6384,Aguilar,,11-MAR-2008
Town of Akron,2412340,Civil,Washington,CO,400948N,1031313W,4682,Akron,,11-MAR-2008
Town of Alma,2412350,Civil,Park,CO,391709N,1060401W,10528,Alma,,11-MAR-2008
Town of Antonito,2412370,Civil,Conejos,CO,370434N,1060037W,7890,Antonito,,11-MAR-2008
Town of Arriba,2411647,Civil,Lincoln,CO,391704N,1031627W,5236,Arriba,,11-MAR-2008
Town of Ault,2411653,Civil,Weld,CO,403521N,1044421W,4951,Eaton,,11-MAR-2008
Town of Avon,2411658,Civil,Eagle,CO,393840N,1063048W,8038,Edwards,,11-MAR-2008
Town of Basalt,2411665,Civil,Eagle,CO,392208N,1070149W,6608,Basalt,,11-MAR-2008
Town of Bayfield,2411667,Civil,La Plata,CO,371403N,1073543W,6975,Bayfield,,11-MAR-2008
Town of Bennett,2411676,Civil,Adams,CO,394510N,1042544W,5495,Bennett,,11-MAR-2008
Town of Berthoud,2411681,Civil,Larimer,CO,401825N,1050447W,5033,Berthoud,,11-MAR-2008
Town of Bethune,2411684,Civil,Kit Carson,CO,391814N,1022524W,4255,Bethune,,11-MAR-2008
Town of Blanca,2411696,Civil,Costilla,CO,372621N,1053049W,7762,Blanca,,11-MAR-2008
Town of Blue River,2411700,Civil,Summit,CO,392617N,1060224W,9964,Breckenridge,,11-MAR-2008
Town of Bonanza,2411706,Civil,Saguache,CO,381748N,1060831W,9511,Bonanza,,11-MAR-2008
Town of Boone,2411709,Civil,Pueblo,CO,381458N,1041529W,4475,Avondale,,11-MAR-2008
Town of Bow Mar,2411713,Civil,Arapahoe,CO,393731N,1050304W,5538,Fort Logan,,11-MAR-2008
Town of Branson,2411720,Civil,Las Animas,CO,370056N,1035302W,6289,Branson,,11-MAR-2008
Town of Breckenridge,2411722,Civil,Summit,CO,392958N,1060236W,9600,Breckenridge,,11-MAR-2008
Town of Brookside,2411733,Civil,Fremont,CO,382449N,1051127W,5381,Canon City,,11-MAR-2008
Town of Buena Vista,2411739,Civil,Chaffee,CO,384955N,1060819W,7989,Buena Vista West,,11-MAR-2008
Town of Calhan,2413149,Civil,El Paso,CO,390204N,1041758W,6526,Calhan,,11-MAR-2008
Town of Campo,2413155,Civil,Baca,CO,370617N,1023444W,4340,Campo,,11-MAR-2008
